UC-ID,ユースケース名,アクター,概要,条件,備考
UC-TO-013,TourOptionの販売ステータスを変更する,運営者,掲載中・一時停止・非公開・下書きを切り替える,対象TourOptionが存在すること,tour-option-detail.html 右上セレクトボックス
UC-PR-001,商品ページ一覧を閲覧・検索する,運営者,商品ページをステータスやキーワードで絞り込んで一覧表示する,,products.html
UC-PR-002,商品ページを新規作成する,運営者,商品ページの基本情報を入力して新規登録する,,product-detail.html（新規モード）
UC-PR-003,商品ページの基本情報を編集する,運営者,タイトル・サブタイトル・カテゴリ等を多言語タブで編集する,対象商品ページが存在すること,product-detail.html 01ページ基本タブ
UC-PR-004,商品ページの共通コンテンツを編集する,運営者,商品ページ全体で使う共通コンテンツを多言語タブで編集する,対象商品ページが存在すること,product-detail.html 02共通コンテンツタブ
UC-PR-005,商品ページに掲載TourOptionを紐付け・管理する,運営者,サジェスト検索でTourOptionを追加しD&Dで表示順を変更する,対象商品ページが存在すること,product-detail.html 03掲載TourOptionタブ / tour-option-add.html / tour-option-edit.html
UC-PR-006,商品ページの掲載ステータスを変更する,運営者,掲載中・非公開・下書きを切り替える,対象商品ページが存在すること,product-detail.html 右上セレクトボックス
UC-PR-007,商品ページの公開前チェックを実施する,運営者,公開可否（公開OK/公開NG）を確認する,対象商品ページが存在すること,product-detail.html 右上公開前チェックボタン
UC-TS-001,ツアー行程一覧を閲覧する,運営者,TourOptionに紐づくツアー行程の一覧を確認する,対象TourOptionが存在すること,tour-schedules.html
UC-TS-002,ツアー行程を新規作成する,運営者,スポット種別・スポット名・地図設定等を入力して行程を登録する,,tour-schedule-detail.html（新規モード）
UC-TS-003,ツアー行程を編集する,運営者,登録済みツアー行程のスポット情報・地図設定等を編集する,対象ツアー行程が存在すること,tour-schedule-detail.html（編集モード）
UC-GM-001,ガイド向け資料一覧を閲覧・検索する,運営者,ガイド向け資料をキーワードで絞り込んで一覧表示する,,guide-materials.html
UC-GM-002,ガイド向け資料を新規作成する,運営者,ガイド向け資料の内容を入力して新規登録する,,guide-material-detail.html（新規モード）
UC-GM-003,ガイド向け資料を編集する,運営者,登録済みガイド向け資料の内容を編集する,対象資料が存在すること,guide-material-detail.html（編集モード）
UC-CP-001,キャンセルポリシー一覧を閲覧する,運営者,登録済みキャンセルポリシーの一覧を確認する,,cancel-policies.html
UC-CP-002,キャンセルポリシーを新規作成する,運営者,テンプレート名・返金条件（日数・割合）を多言語で入力して登録する,,cancel-policy-detail.html（新規モード）
UC-CP-003,キャンセルポリシーを編集する,運営者,登録済みキャンセルポリシーの内容を編集する,対象ポリシーが存在すること,cancel-policy-detail.html（編集モード）
UC-RS-001,リソース一覧を閲覧する,運営者,催行リソースの一覧を確認する,,resources.html
UC-RS-002,リソースを新規作成する,運営者,リソース名・再利用可能までの時間等を入力して登録する,,resource-detail.html（新規モード）
UC-RS-003,リソースを編集する,運営者,登録済みリソースの情報を編集する,対象リソースが存在すること,resource-detail.html（編集モード）
UC-AR-001,都道府県・エリア一覧を閲覧する,運営者,登録済み都道府県とエリアの一覧を確認する,,areas.html
UC-AR-002,都道府県を新規作成・編集する,運営者,都道府県名を多言語で入力して登録・編集する,,areas.html（編集モード）
UC-AR-003,エリアを新規作成・編集する,運営者,都道府県に紐づくエリア名を多言語で入力して登録・編集する,対象都道府県が存在すること,areas.html（編集モード）
UC-LG-001,言語マスター一覧を閲覧する,運営者,管理対象の言語マスター一覧を確認する,,languages.html
UC-LG-002,言語マスターを新規作成・編集する,運営者,言語名・言語コードを入力して登録・編集する,,language-detail.html
